OriginAirportCode,Month,DayofMonth,CRSDepHour,DayOfWeek,Carrier,DestAirportCode,WindSpeed,SeaLevelPressure,HourlyPrecip
LAX,7,25,21,4,OO,PHX,10,29,0
ATL,7,5,14,5,DL,DFW,3,30,0
ATL,7,6,8,6,DL,MEM,7,30,0
SAT,7,15,6,1,DL,ATL,9,29,0
PHL,7,17,13,3,9E,CVG,3,30,0
STL,7,21,17,7,FL,ATL,7,29,0
BWI,7,4,9,4,FL,MCO,11,30,0
ATL,7,26,13,5,DL,HOU,10,30,0
LAS,7,14,23,7,UA,ORD,9,29,0
SAN,7,27,13,6,DL,SLC,7,29,0
SFO,7,25,14,4,AA,DFW,21,29,0
SLC,7,20,7,6,DL,ATL,5,29,0
PHX,7,14,22,7,US,MCO,10,29,0
ATL,7,14,13,7,DL,MIA,10,30,0
ATL,7,25,15,4,DL,MSP,8,29,0
MSP,7,4,14,4,DL,LAX,13,29,0
LAX,7,9,16,2,UA,JFK,9,29,0
EWR,7,31,11,3,UA,LAX,0,30,0
STL,7,31,14,3,WN,LAS,10,30,0
LAX,7,11,10,4,UA,SFO,7,29,0
LAX,7,25,12,4,UA,HNL,10,29,0
BWI,7,23,8,2,WN,TPA,7,29,0
JFK,7,24,17,3,DL,SFO,14,29,0
LGA,7,8,19,1,DL,FLL,16,29,0
SAT,7,6,15,6,UA,IAH,7,29,0
ATL,7,30,11,2,DL,MSY,5,30,0
SMF,7,9,9,2,WN,ONT,0,29,0
CLT,7,22,7,1,US,FLL,7,29,0
DTW,7,27,17,6,DL,LAX,11,29,0
PHX,7,12,8,5,DL,JFK,7,29,0
SJU,7,26,14,5,US,PHL,13,30,0
DCA,7,8,14,1,UA,ORD,7,30,0
MSP,7,15,9,1,DL,SFO,7,30,0
CLT,7,1,20,1,US,MCO,14,29,0
CLE,7,8,14,1,MQ,LGA,9,30,0
BWI,7,28,9,7,WN,PIT,7,29,0
BOS,7,3,6,3,UA,ORD,0,29,0
MEM,7,5,6,5,EV,ORD,3,29,0
LAS,7,16,15,2,B6,LGB,16,29,0
PDX,7,22,18,1,DL,SLC,10,29,0
ORD,7,17,19,3,AA,DFW,11,30,0
SAT,7,8,18,1,WN,HOU,6,29,0
ATL,7,24,10,3,WN,LAS,9,29,0
CLT,7,31,22,3,US,ORF,9,30,0
ORD,7,30,8,2,AA,BOS,6,30,0
PHL,7,24,18,3,US,CLT,8,29,0
LAX,7,13,8,6,WN,LAS,0,29,0
BOS,7,26,15,5,B6,EWR,14,29,0
LAX,7,13,14,6,WN,PHX,14,29,0
LAX,7,29,8,1,WN,SAT,5,29,0
RDU,7,6,6,6,WN,TPA,3,29,0
RIC,7,2,7,2,MQ,MIA,9,29,0
CLT,7,11,11,4,US,BOS,5,29,0
DCA,7,5,20,5,US,CLT,10,30,0
IAH,7,21,9,7,UA,RNO,5,29,0
LAX,7,9,7,2,UA,DEN,6,29,0
BWI,7,19,6,5,UA,LAX,5,29,0
LGA,7,5,21,5,MQ,RDU,10,30,0
RNO,7,28,9,7,WN,LAS,0,29,0
JFK,7,4,19,4,9E,CLT,16,30,0
CLT,7,28,16,7,US,TPA,8,29,0
CLT,7,8,9,1,US,BWI,0,29,0
RSW,7,28,11,7,WN,BWI,5,30,0
ORD,7,17,19,3,AA,SJC,11,30,0
OKC,7,26,13,5,MQ,ORD,14,29,0
TUS,7,16,5,2,AA,DFW,13,29,0
PHL,7,19,20,5,US,PIT,14,29,0
MCO,7,20,8,6,B6,SJU,0,30,0
PHX,7,14,23,7,US,TPA,11,29,0
SFO,7,24,23,3,VX,FLL,15,29,0
OAK,7,17,11,3,WN,PDX,7,29,0
EWR,7,12,9,5,EV,CLT,14,30,0
IND,7,23,15,2,FL,MCO,11,29,0
JAX,7,25,16,4,YV,ORD,9,29,0
MCO,7,9,20,2,WN,PHL,9,30,0
MSP,7,10,21,3,DL,DTW,5,30,0
MKE,7,15,13,1,FL,DCA,9,30,0
MEM,7,20,9,6,FL,ATL,9,29,0
DCA,7,17,11,3,FL,MKE,8,30,0
SFO,7,22,17,1,VX,SAN,0,29,0
ORD,7,28,20,7,UA,ATL,6,29,0
IAH,7,17,14,3,EV,RDU,10,30,0
DTW,7,22,10,1,WN,PHX,9,29,0
SFO,7,9,15,2,WN,PHX,22,29,0
FLL,7,17,9,3,B6,JFK,0,29,0
LAX,7,25,17,4,AA,LAS,15,29,0
OGG,7,2,22,2,US,PHX,14,30,0
IAH,7,28,22,7,EV,AUS,9,29,0
MCO,7,8,20,1,FL,DCA,7,30,0
PVD,7,16,18,2,WN,BWI,9,30,0
AUS,7,27,6,6,YV,PHX,6,29,0
MSY,7,17,12,3,WN,BWI,16,30,0
SDF,7,8,16,1,MQ,DFW,10,30,0
MKE,7,1,14,1,DL,DTW,11,30,0
ATL,7,12,23,5,DL,MSY,15,29,0
MIA,7,29,11,1,AA,LAX,13,30,0
PDX,7,28,8,7,US,PHL,3,30,0
RSW,7,1,11,1,FL,DCA,16,29,0
SNA,7,30,14,2,UA,IAH,7,30,0
SFO,7,27,10,6,OO,SLC,6,29,0
MDW,7,3,15,3,WN,LAS,8,30,0
CLE,7,14,19,7,YV,CLT,7,30,0
LAX,7,19,12,5,WN,STL,11,29,0
MSP,7,15,15,1,OO,SDF,9,30,0
MIA,7,2,11,2,AA,IAH,5,30,0
SLC,7,1,9,1,DL,DTW,0,29,0
SAN,7,30,9,2,WN,HOU,3,29,0
ORD,7,3,8,3,MQ,MSY,8,30,0
CLT,7,10,11,3,US,LAS,8,30,0
PIT,7,13,14,6,EV,IAH,0,30,0
BOS,7,18,8,4,WN,MCI,9,29,0
OGG,7,26,8,5,HA,HNL,3,30,0
LGA,7,7,11,7,MQ,BNA,9,30,0
STL,7,19,20,5,WN,DAL,10,29,0
OKC,7,23,7,2,WN,DAL,11,29,0
BUR,7,19,15,5,OO,PDX,10,29,0
SFO,7,6,7,6,UA,JFK,3,29,0
OGG,7,11,14,4,UA,SFO,21,30,0
RSW,7,9,11,2,FL,MDW,13,30,0
OGG,7,13,18,6,YV,HNL,18,29,0
LGA,7,3,14,3,US,CLT,9,30,0
SLC,7,27,22,6,DL,OAK,3,29,0
SAN,7,30,9,2,DL,ATL,5,30,0
SAT,7,8,9,1,WN,MCO,8,29,0
IAD,7,22,5,1,UA,DEN,0,29,0
MSY,7,6,14,6,WN,MCI,10,29,0
DTW,7,4,14,4,9E,CLE,8,30,0
STL,7,17,14,3,AA,LGA,5,30,0
HOU,7,26,9,5,WN,IND,13,30,0
ANC,7,1,1,1,AS,SEA,13,29,0
LAX,7,3,17,3,WN,DEN,11,29,0
SFO,7,9,9,2,UA,IAD,5,30,0
HNL,7,15,6,1,UA,LAX,0,29,0
HOU,7,9,9,2,WN,ABQ,7,30,0
TUS,7,17,6,3,OO,LAX,8,29,0
CLT,7,18,9,4,US,DEN,0,30,0
DCA,7,31,19,3,AA,MIA,17,29,0
BOS,7,30,7,2,US,PHL,13,30,0
LGB,7,20,6,6,YV,PHX,3,29,0
ATL,7,20,16,6,DL,PBI,0,29,0
TUS,7,25,14,4,WN,LAS,14,29,0
OAK,7,14,6,7,WN,DEN,7,29,0
ORD,7,18,6,4,UA,DFW,3,30,0
MCO,7,11,8,4,UA,IAH,7,30,0
ATL,7,28,12,7,DL,PDX,3,29,0
BOS,7,29,8,1,UA,EWR,3,29,0
RSW,7,16,17,2,WN,MDW,16,30,0
CLT,7,14,7,7,US,BOS,13,29,0
SFO,7,3,15,3,DL,HNL,21,29,0
CLT,7,5,7,5,DL,ATL,6,29,0
OAK,7,23,14,2,WN,ABQ,11,30,0
MSP,7,26,17,5,DL,SAN,18,30,0
ATL,7,4,12,4,DL,MIA,6,30,0
JFK,7,2,6,2,EV,IAD,11,29,0
STL,7,1,12,1,9E,CVG,18,29,0
MCO,7,3,15,3,UA,IAH,9,29,0
ANC,7,24,13,3,DL,SLC,5,29,0
SDF,7,1,14,1,EV,ORD,7,29,0
MIA,7,1,19,1,MQ,CLE,0,30,0
PHX,7,25,16,4,OO,LAX,3,29,0
LAS,7,12,7,5,WN,MDW,6,29,0
SFO,7,8,7,1,WN,MKE,3,29,0
SLC,7,11,17,4,DL,MSP,25,29,0
SFO,7,11,18,4,WN,PHX,13,29,0
PHX,7,9,14,2,OO,ONT,14,29,0
MSP,7,8,19,1,OO,ORD,7,29,0
SNA,7,25,6,4,WN,OAK,0,29,0
RDU,7,21,9,7,US,CLT,9,29,0
FLL,7,16,7,2,UA,EWR,16,29,0
PDX,7,15,13,1,UA,ORD,10,29,0
RDU,7,13,14,6,MQ,LGA,0,30,0
ATL,7,12,13,5,DL,IAH,8,29,0
CMH,7,7,11,7,MQ,ORD,6,29,0
ORD,7,17,14,3,EV,IND,11,30,0
LGB,7,14,11,7,B6,OAK,6,29,0
JAX,7,22,17,1,DL,ATL,7,30,0
ATL,7,26,15,5,DL,CLT,23,29,0
ATL,7,7,12,7,DL,MEM,3,29,0
DTW,7,1,12,1,9E,IND,8,30,0
EWR,7,28,8,7,UA,MCO,5,29,0
BOS,7,27,8,6,B6,RSW,8,30,0
EWR,7,11,7,4,EV,CMH,10,29,0
SNA,7,21,10,7,UA,SFO,7,29,0
LAX,7,4,17,4,OO,SAN,13,29,0
PDX,7,4,6,4,DL,JFK,3,30,0
SFO,7,16,18,2,OO,OKC,14,29,0
SAN,7,16,8,2,OO,LAX,5,29,0
IAD,7,16,8,2,UA,SFO,10,30,0
BUR,7,4,16,4,WN,DEN,9,29,0
DTW,7,2,12,2,DL,ATL,5,30,0
LAX,7,13,6,6,MQ,IAH,3,29,0
LAX,7,14,8,7,WN,SAT,5,29,0
SEA,7,31,13,3,AA,ORD,5,30,0
RDU,7,25,13,4,EV,IAH,9,29,0
LAX,7,2,9,2,UA,IAH,8,29,0
PHX,7,15,15,1,WN,SEA,9,29,0
BUR,7,12,7,5,WN,PHX,0,29,0
DTW,7,11,7,4,WN,MDW,5,30,0
MSY,7,16,16,2,AA,DFW,10,30,0
SMF,7,31,7,3,DL,MSP,10,30,0
SFO,7,11,18,4,OO,ONT,13,29,0
PDX,7,23,11,2,US,PHX,0,29,0
JFK,7,11,16,4,B6,SAN,0,29,0
MSP,7,7,7,7,DL,LGA,6,29,0
LAS,7,30,18,2,WN,HOU,11,29,0
SFO,7,14,15,7,OO,SEA,21,29,0
IAD,7,10,19,3,B6,JFK,9,29,0
IAH,7,16,16,2,OO,DTW,15,29,0
BWI,7,13,9,6,WN,BNA,5,29,0
CLE,7,17,17,3,UA,EWR,11,30,0
AUS,7,29,19,1,AA,LAX,14,29,0
ORD,7,5,19,5,AA,MIA,9,30,0
EWR,7,22,12,1,EV,MCI,8,29,0
LAS,7,2,14,2,WN,MDW,7,29,0
ATL,7,13,20,6,DL,MSY,10,30,0
LAX,7,2,23,2,OO,SAN,10,29,0
IAD,7,14,9,7,UA,SFO,7,30,0
LAX,7,11,16,4,OO,SJC,6,29,0
LAS,7,29,7,1,WN,MDW,3,29,0
ATL,7,25,11,4,FL,RSW,6,29,0
LGB,7,4,7,4,B6,SFO,0,29,0
OGG,7,1,23,1,UA,SFO,9,30,0
MDW,7,31,9,3,WN,MCO,3,29,0
ANC,7,4,14,4,AS,SEA,11,30,0
BWI,7,22,9,1,WN,BOS,0,29,0
ATL,7,23,22,2,FL,DCA,6,29,0
BOS,7,16,9,2,AA,DFW,7,30,0
MSP,7,17,20,3,EV,ATL,7,30,0
HOU,7,21,11,7,B6,JFK,6,29,0
MEM,7,26,8,5,DL,MSP,3,30,0
PDX,7,29,7,1,OO,SEA,0,30,0
ORD,7,20,21,6,AA,AUS,3,29,0
MDW,7,19,9,5,WN,MCO,15,29,0
ATL,7,19,14,5,DL,IAH,6,29,0
ATL,7,23,11,2,MQ,ORD,8,29,0
IAH,7,3,7,3,OO,AUS,5,30,0
LAX,7,30,9,2,OO,SAN,6,30,0
TUS,7,5,8,5,YV,PHX,5,29,0
EWR,7,20,18,6,AS,SEA,8,29,0
ATL,7,7,17,7,DL,IAD,3,30,0
MDW,7,31,7,3,WN,PIT,0,29,0
TPA,7,8,19,1,FL,ATL,13,30,0
SMF,7,5,5,5,OO,SFO,15,29,0
DCA,7,30,19,2,UA,ORD,7,30,0
ATL,7,1,8,1,AA,DFW,5,29,0
LGB,7,1,15,1,B6,SLC,10,29,0
MDW,7,6,9,6,WN,BUF,0,30,0
MDW,7,3,8,3,WN,SFO,3,30,0
MCO,7,17,7,3,DL,ATL,9,30,0
ORF,7,27,8,6,WN,ATL,3,30,0
JFK,7,18,19,4,DL,PDX,5,29,0
LAX,7,11,22,4,MQ,SAN,5,29,0
BOS,7,15,7,1,AA,DFW,8,30,0
DTW,7,30,12,2,AA,DFW,0,30,0
FLL,7,19,20,5,B6,LGA,9,30,0
ORD,7,7,16,7,AA,LAX,10,29,0
MCO,7,12,17,5,WN,SAT,3,29,0
HOU,7,6,13,6,WN,STL,13,29,0
JFK,7,7,18,7,9E,DTW,9,29,0
SMF,7,20,18,6,WN,BUR,8,29,0
OMA,7,4,8,4,AA,DFW,9,29,0
SAN,7,24,11,3,OO,LAX,13,29,0
STL,7,30,18,2,DL,SLC,7,29,0
SJU,7,20,8,6,AA,MIA,11,30,0
JAX,7,13,14,6,DL,ATL,16,29,0
SLC,7,30,16,2,OO,SNA,6,29,0
RDU,7,30,12,2,FL,MCO,7,30,0
EWR,7,28,6,7,UA,LAS,6,29,0
IAH,7,8,12,1,OO,AUS,3,29,0
LAX,7,29,15,1,AS,SEA,13,29,0
CLE,7,21,9,7,UA,DEN,3,29,0
IAH,7,24,21,3,UA,SJC,6,29,0
ATL,7,17,17,3,DL,CLT,18,29,0
ATL,7,31,19,3,DL,IAD,6,30,0
SMF,7,20,19,6,WN,LAX,14,29,0
SLC,7,5,16,5,F9,DEN,8,29,0
SFO,7,13,10,6,UA,SAN,6,29,0
JFK,7,27,8,6,UA,LAX,7,30,0
MSY,7,25,12,4,WN,BWI,8,30,0
PHX,7,11,14,4,WN,LAS,10,29,0
HOU,7,26,19,5,WN,MSY,11,29,0
ORF,7,20,16,6,WN,BWI,16,29,0
MIA,7,12,11,5,AA,DFW,6,29,0
DTW,7,13,15,6,DL,ORD,8,30,0
EWR,7,1,10,1,UA,IAH,0,29,0
DTW,7,3,8,3,DL,TPA,6,29,0
ORD,7,2,21,2,UA,DCA,10,30,0
ATL,7,14,9,7,EV,IAH,13,30,0
DTW,7,5,10,5,9E,IND,7,29,0
PHL,7,9,17,2,US,SMF,14,29,0
IAD,7,14,17,7,EV,JFK,5,30,0
BNA,7,7,9,7,WN,RDU,5,29,0
MDW,7,21,21,7,WN,BNA,10,29,0
SAN,7,19,12,5,DL,CVG,8,29,0
MDW,7,8,12,1,WN,ORF,13,29,0
DTW,7,20,6,6,FL,ATL,5,29,0
STL,7,12,19,5,OO,MSP,7,30,0
OGG,7,15,12,1,YV,HNL,16,29,0
ATL,7,3,9,3,DL,PVD,10,29,0
ATL,7,31,21,3,DL,CLE,5,30,0
FLL,7,3,8,3,US,CLT,13,30,0
ABQ,7,8,8,1,UA,IAD,6,29,0
MDW,7,3,21,3,WN,PVD,5,30,0
MCO,7,4,8,4,FL,BWI,9,30,0
CLT,7,27,19,6,US,ORF,6,29,0
BNA,7,7,12,7,MQ,JFK,0,30,0
SFO,7,12,17,5,AS,PDX,21,29,0
BUR,7,31,9,3,WN,SMF,5,30,0
LAX,7,25,10,4,WN,OAK,6,29,0
SAN,7,21,20,7,WN,DEN,5,29,0
SMF,7,21,14,7,WN,BUR,7,29,0
PHX,7,8,8,1,US,MCI,11,29,0
LAX,7,10,11,3,US,CLT,9,29,0
SEA,7,6,8,6,AA,ORD,3,30,0
DCA,7,27,16,6,AA,ORD,13,29,0
DCA,7,26,17,5,UA,IAH,6,30,0
JFK,7,25,17,4,DL,LAX,15,30,0
BOS,7,22,17,1,AS,PDX,13,29,0
EWR,7,24,14,3,B6,BOS,13,29,0
CLT,7,1,20,1,US,PDX,14,29,0
FLL,7,24,12,3,AA,DFW,8,29,0
AUS,7,1,13,1,AA,DFW,15,29,0
DTW,7,10,8,3,DL,ATL,11,29,0
ORF,7,30,16,2,WN,BWI,9,30,0
JAX,7,4,18,4,B6,JFK,11,30,0
STL,7,9,6,2,AA,ORD,9,30,0
PHL,7,22,17,1,AS,SEA,6,29,0
SFO,7,10,12,3,UA,STL,20,29,0
LAS,7,16,14,2,WN,BUR,11,29,0
SEA,7,11,20,4,US,PHX,8,30,0
SLC,7,24,13,3,OO,OMA,16,29,0
IND,7,6,10,6,DL,ATL,6,29,0
SNA,7,18,8,4,WN,PHX,6,29,0
IAH,7,2,7,2,EV,MSP,6,30,0
AUS,7,18,19,4,OO,SFO,3,29,0
SFO,7,3,12,3,UA,ORD,6,29,0
CLT,7,12,10,5,MQ,ORD,3,29,0
PIT,7,26,9,5,AA,DFW,0,30,0
MCO,7,15,14,1,FL,RDU,8,30,0
SAN,7,13,10,6,MQ,LAX,9,29,0
MSP,7,25,14,4,EV,ORF,13,29,0
MSY,7,2,7,2,9E,CVG,11,29,0
SFO,7,14,14,7,OO,PDX,25,29,0
RDU,7,30,13,2,OO,IAD,5,30,0
DTW,7,1,10,1,9E,CLE,11,29,0
SEA,7,23,12,2,AA,DFW,8,30,0
CLE,7,30,16,2,EV,MSP,6,30,0
LGA,7,21,15,7,US,CLT,9,29,0
PHX,7,18,23,4,US,MSP,15,29,0
RIC,7,2,6,2,EV,CLE,9,29,0
SFO,7,18,9,4,OO,DFW,6,30,0
PHX,7,31,15,3,US,BOS,8,29,0
PHL,7,19,15,5,US,SEA,15,29,0
SDF,7,15,15,1,EV,ORD,9,30,0
SNA,7,19,9,5,US,PHX,0,29,0
IAH,7,9,8,2,EV,BNA,6,30,0
MCO,7,3,14,3,DL,LGA,15,29,0
JFK,7,10,10,3,B6,PBI,5,29,0
ORF,7,1,12,1,YV,CLT,9,29,0
HOU,7,24,8,3,WN,DAL,7,30,0
ORD,7,31,6,3,EV,JAX,0,29,0
DTW,7,25,20,4,9E,ORF,7,30,0
PHL,7,9,17,2,US,SFO,14,30,0
MSP,7,13,14,6,DL,SEA,17,30,0
SMF,7,13,13,6,DL,SLC,5,29,0
IAD,7,7,18,7,UA,TPA,0,30,0
ATL,7,22,14,1,DL,FLL,7,29,0
PHX,7,12,5,5,US,CLT,8,29,0
LGA,7,3,19,3,MQ,CMH,6,29,0
FLL,7,16,8,2,WN,BNA,16,29,0
IAD,7,2,8,2,EV,JAX,11,29,0
TPA,7,2,16,2,WN,FLL,20,30,0
PVD,7,3,6,3,WN,TPA,10,30,0
ATL,7,15,8,1,EV,DAL,13,30,0
ATL,7,26,8,5,FL,HOU,7,30,0
ATL,7,1,10,1,DL,DFW,6,29,0
OAK,7,18,20,4,WN,SNA,14,29,0
LAX,7,11,9,4,DL,BOS,0,29,0
PBI,7,16,19,2,B6,BOS,3,29,0
ATL,7,13,13,6,EV,DAL,11,29,0
ORD,7,2,15,2,AA,LGA,9,30,0
HNL,7,19,6,5,HA,OGG,0,30,0
LAX,7,20,10,6,DL,BNA,0,29,0
IAH,7,30,12,2,EV,SDF,9,30,0
LGA,7,11,17,4,DL,ATL,6,29,0
LAX,7,17,17,3,WN,OAK,13,29,0
ATL,7,23,13,2,DL,LAS,14,29,0
SJC,7,22,10,1,OO,LAX,0,29,0
IAH,7,29,17,1,EV,MEM,9,30,0
SFO,7,18,16,4,UA,BOS,23,29,0
IAH,7,26,21,5,UA,AUS,9,29,0
SFO,7,25,13,4,UA,ORD,20,29,0
MSP,7,3,7,3,DL,ORD,0,30,0
EWR,7,25,14,4,UA,MCO,13,30,0
MDW,7,11,13,4,DL,ATL,13,30,0
MDW,7,27,20,6,WN,BOS,8,29,0
SJC,7,24,6,3,UA,IAH,5,29,0
HNL,7,5,15,5,HA,JFK,14,29,0
SAN,7,28,21,7,AS,SEA,0,29,0
PDX,7,5,22,5,DL,JFK,8,29,0
LAX,7,23,16,2,AS,PDX,16,29,0
PDX,7,16,13,2,AA,ORD,3,29,0
FLL,7,3,18,3,B6,LGA,28,29,0
CLE,7,1,18,1,MQ,ORD,14,29,0
LAX,7,30,16,2,AA,DFW,16,30,0
DAL,7,30,8,2,WN,ABQ,14,29,0
MSP,7,14,14,7,EV,DFW,9,30,0
MDW,7,22,7,1,WN,SDF,6,29,0
EWR,7,3,6,3,EV,CVG,8,30,0
ATL,7,6,23,6,DL,BNA,5,29,0
EWR,7,15,17,1,UA,SAN,16,30,0
SEA,7,19,17,5,B6,LGB,8,30,0
DTW,7,17,15,3,DL,BOS,10,30,0
LGA,7,13,15,6,WN,STL,15,30,0
LAX,7,30,18,2,UA,SFO,14,30,0
SLC,7,21,13,7,OO,OKC,8,29,0
SDF,7,13,20,6,YV,CLT,8,30,0
CLT,7,21,20,7,US,JFK,3,29,0
CLT,7,18,11,4,US,BOS,5,30,0
DAL,7,18,17,4,WN,MSY,6,30,0
LAS,7,18,15,4,WN,MDW,9,29,0
SEA,7,6,14,6,WN,LAS,8,29,0
IAH,7,19,11,5,UA,SAN,3,29,0
TPA,7,3,18,3,WN,BWI,3,29,0
ATL,7,28,20,7,FL,BWI,5,29,0
DCA,7,18,17,4,US,MCO,5,29,0
CMH,7,27,13,6,FL,FLL,11,29,0
MIA,7,21,13,7,AA,JFK,10,30,0
MSP,7,26,14,5,DL,DEN,15,29,0
LGB,7,1,7,1,B6,SEA,6,29,0
HOU,7,20,8,6,WN,MCO,3,29,0
MIA,7,12,19,5,AA,JFK,5,29,0
BNA,7,13,15,6,9E,JFK,8,29,0
ATL,7,30,10,2,DL,ORF,3,30,0
SFO,7,30,14,2,VX,LAS,18,30,0
PDX,7,18,8,4,AS,LAX,8,30,0
ATL,7,22,21,1,EV,EWR,13,29,0
CLT,7,31,11,3,9E,JFK,6,30,0
MSY,7,21,12,7,FL,MCO,11,29,0
RSW,7,26,11,5,B6,EWR,0,29,0
PHX,7,29,12,1,YV,AUS,9,29,0
MDW,7,19,7,5,WN,BUF,13,29,0
IND,7,29,17,1,WN,MCI,10,30,0
MSY,7,23,6,2,DL,LGA,6,30,0
PDX,7,22,15,1,DL,MSP,10,29,0
LAS,7,15,8,1,OO,DEN,7,29,0
PHX,7,18,15,4,WN,MDW,5,29,0
DCA,7,21,19,7,US,MCO,0,29,0
LGA,7,3,19,3,EV,CLE,6,29,0
SNA,7,7,12,7,DL,ATL,5,29,0
SAN,7,8,20,1,WN,DEN,5,29,0
ATL,7,21,12,7,DL,DCA,3,29,0
SFO,7,18,12,4,AA,MIA,16,30,0
MSP,7,21,10,7,DL,ORD,7,29,0
CLE,7,29,7,1,UA,TPA,9,30,0
ORD,7,18,20,4,UA,IAH,8,29,0
PHX,7,7,18,7,OO,LAX,8,29,0
SLC,7,27,13,6,DL,DEN,11,29,0
MCO,7,28,17,7,B6,PVD,15,29,0
IAH,7,6,16,6,UA,DEN,16,29,0
EWR,7,3,13,3,UA,ORD,8,29,0
PHX,7,5,9,5,WN,MKE,3,29,0
SAT,7,21,13,7,WN,TPA,7,29,0
STL,7,14,12,7,WN,BWI,8,30,0
ABQ,7,12,16,5,WN,LAS,11,29,0
BUR,7,31,10,3,WN,SJC,3,30,0
TUS,7,14,5,7,AA,DFW,9,29,0
MSP,7,30,10,2,OO,BWI,6,29,0
DTW,7,9,8,2,US,CLT,0,29,0
PHX,7,13,19,6,WN,BUR,9,29,0
OGG,7,6,10,6,HA,HNL,10,30,0
SMF,7,1,8,1,WN,SAN,0,29,0
CLT,7,20,22,6,US,PHX,0,30,0
PIT,7,14,9,7,DL,ATL,11,30,0
TUS,7,22,10,1,YV,PHX,7,29,0
MKE,7,23,13,2,WN,LAS,13,29,0
LAX,7,21,15,7,OO,ABQ,3,29,0
BWI,7,11,6,4,DL,ATL,5,29,0
ORD,7,26,18,5,9E,JFK,13,29,0
STL,7,5,15,5,WN,LGA,13,30,0
DCA,7,4,9,4,B6,FLL,9,29,0
ATL,7,3,12,3,DL,CLT,15,29,0
ATL,7,21,11,7,EV,OMA,5,29,0
LGA,7,14,11,7,DL,ATL,11,30,0
